Route,Border type or inland,Nationality,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,TOTAL
,,SUM,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Central Mediterranean Route,Sea,Syria,3298,161,455,290,253,782,2348,2635,2949,4415,7597,8747,3831,2782,3022,43565
Central Mediterranean Route,Sea,Eritrea,1261,294,621,40,410,1146,5711,4962,6122,6077,3319,3980,1339,313,140,35735
Central Mediterranean Route,Sea,Unspecified sub-Saharan nationals,0,0,0,0,0,619,4431,1138,5524,4900,3611,3627,2054,340,96,26340
Central Mediterranean Route,Sea,Mali,304,71,311,286,836,663,580,1409,1763,972,899,562,367,607,431,10061
Central Mediterranean Route,Sea,Gambia,748,229,330,370,513,441,246,536,1299,856,740,1021,608,989,930,9856
Central Mediterranean Route,Sea,Nigeria,524,35,224,66,100,422,479,872,605,1423,1127,1094,1076,818,151,9016
Central Mediterranean Route,Sea,Palestine^,674,27,32,53,32,48,90,259,376,570,1300,1366,871,589,369,6656
Central Mediterranean Route,Sea,Somalia,266,114,9,122,414,338,280,604,541,922,454,467,1022,396,225,6174
Central Mediterranean Route,Sea,Senegal,456,50,160,302,324,210,91,318,377,395,309,363,752,681,599,5387
Central Mediterranean Route,Sea,Egypt,184,121,110,178,1,135,414,346,761,715,725,565,269,229,4,4757
Central Mediterranean Route,Sea,Bangladesh,33,9,26,21,18,23,57,104,104,483,1497,1484,388,24,0,4271
Central Mediterranean Route,Sea,Pakistan,212,63,102,275,104,228,209,326,56,327,959,381,375,156,61,3834
Central Mediterranean Route,Sea,Sudan,17,9,1,9,12,39,70,206,362,615,587,508,651,108,7,3201
Central Mediterranean Route,Sea,Morocco,32,2,18,37,45,71,196,203,550,280,440,316,167,167,24,2548
Central Mediterranean Route,Sea,Ghana,89,27,23,8,19,86,59,168,387,334,215,416,324,137,26,2318
Central Mediterranean Route,Sea,Tunisia,105,94,96,38,38,37,67,143,194,142,223,354,327,78,42,1978
Central Mediterranean Route,Sea,Côte d'Ivoire,22,0,12,15,33,47,63,77,116,159,201,189,141,313,139,1527
Central Mediterranean Route,Sea,Guinea,51,13,36,24,63,84,61,93,279,145,105,115,69,165,157,1460
Central Mediterranean Route,Sea,Afghanistan,149,5,1,2,20,41,110,4,131,67,159,80,109,90,30,998
