month_year,temp_mean,wind_mean
Jan-13,"145,483,871","2,635,483,871"
Feb-13,"1,307,142,857","2,539,285,714"
Mar-13,"1,548,387,097","2,329,032,258"
Apr-13,"1,733,333,333","2,156,666,667"
May-13,"194,516,129","2,338,709,677"
Jun-13,"2,196,666,667","2,006,666,667"
Jul-13,"2,580,645,161","1,367,741,935"
Aug-13,27,"1,472,413,793"
Sep-13,"25,8","15,7"
Oct-13,"2,467,741,935","1,638,709,677"
Nov-13,"1,876,666,667","21,2"
Dec-13,"1,583,870,968","2,187,096,774"
Jan-14,15.16129032,22.03225806
Feb-14,14.82142857,20.89285714
Mar-14,14.70967742,23.16129032
Apr-14,17.1,20.46666667
May-14,19,19.83870968
Jun-14,23.63333333,17.76666667
Jul-14,25.64516129,18.48387097
Aug-14,26.70967742,17.58064516
Sep-14,26.66666667,15.33333333
Oct-14,23.93548387,17.32258065
Nov-14,20.79310345,19.5862069
Dec-14,16.06451613,23.41935484
