id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
1489,ALG-1998-1-3-76,1998,True,Clear,1,386,386,Algeria: Government,829,829,Government of Algeria - GIA,109,109,Government of Algeria,538,538,GIA,-1,"BBC 3/9/1998 Security services report eight ""terrorists"" killed.",,,,Statement security services,1,Maghnia town,"Maghnia town, Maghnia district, Tlemcen province",Tlemcen province,Maghnia commune,34.849686,-1.727530,POINT (-1.727530 34.849686),179637,Algeria,615,Africa,1,1,03/06/1998 00:00:00,03/06/1998 00:00:00,0,1,0,0,1,1,1,
1490,ALG-1996-1-3-18,1996,True,Clear,1,386,386,Algeria: Government,829,829,Government of Algeria - GIA,109,109,Government of Algeria,538,538,GIA,-1,"Reuters, 1/27/1996 Algeria says 39 Moslem guerrillas killed.",,,,official security statement,4,Oran province,Oran province,Oran province,,35.666667,-0.500000,POINT (-0.500000 35.666667),181080,Algeria,615,Africa,1,1,01/21/1996 00:00:00,01/21/1996 00:00:00,0,8,0,0,8,8,8,
1491,ALG-2000-1-4-154,2000,True,Clear,1,386,386,Algeria: Government,830,830,Government of Algeria - AQIM,109,109,Government of Algeria,539,539,AQIM,-1,"BBC 9/12/2000 Algerian forces report two militants killed. 'El-Khabar' web site, Algiers, in Arabic 12 Sep 00.",,,,,4,Mascara province,Mascara province (near Ouled Belhassina village in),Mascara province,,35.416667,0.166667,POINT (0.166667 35.416667),180361,Algeria,615,Africa,1,1,09/12/2000 00:00:00,09/12/2000 00:00:00,0,1,0,0,1,1,1,
1492,ALG-1994-1-1-190.2,1994,True,Clear,1,386,386,Algeria: Government,828,828,Government of Algeria - AIS,109,109,Government of Algeria,537,537,AIS,-1,"BBC 10/28/1994 SECURITY SERVICES REPORT KILLING ""TERRORISTS"" IN VARIOUS OPERATIONS. (b) Algerian TV, Algiers, in Arabic 1900 gmt 26 Oct 94",,,,,4,Medea province,Medea province,Medea province,,36.083333,3.000000,POINT (3.000000 36.083333),181807,Algeria,615,Africa,2,2,10/23/1994 00:00:00,10/25/1994 00:00:00,0,2,0,0,2,2,2,
1493,ALG-1997-1-3-39,1997,True,Clear,1,386,386,Algeria: Government,829,829,Government of Algeria - GIA,109,109,Government of Algeria,538,538,GIA,-1,"Reuters, 5/31/1997 Killings, bombings in last days of Algeria election. Al Khabar",,,,,5,Algeria northern,"Algeria northern (Lala oum Fatma mountain, 90 km (60 miles) east of Algiers)",,,36.080000,3.000000,POINT (3.000000 36.080000),181807,Algeria,615,Africa,1,1,05/31/1997 00:00:00,05/31/1997 00:00:00,0,1,0,0,1,1,1,
1496,ALG-1995-1-3-111.4,1995,True,Clear,1,386,386,Algeria: Government,829,829,Government of Algeria - GIA,109,109,Government of Algeria,538,538,GIA,-1,"BBC 7/17/1995 TWENTY-NINE ""TERRORISTS"" KILLED IN VARIOUS PARTS OF THE COUNTRY. F Source: Algerian TV, Algiers, in Arabic 1900 gmt 15 Jul 95",,,,,4,Boumerdes province,Boumerdes province,Boumerdes province,,36.750000,3.666667,POINT (3.666667 36.750000),182528,Algeria,615,Africa,1,1,07/15/1995 00:00:00,07/15/1995 00:00:00,0,3,0,0,3,3,3,
1497,ALG-1994-1-1-46.2,1994,True,Clear,1,386,386,Algeria: Government,828,828,Government of Algeria - AIS,109,109,Government of Algeria,537,537,AIS,-1,"Reuters, 2/27/1994 Head of Algerian Islamic armed group killed.",,,,,4,Blida province,Blida Province,Blida province,,36.583333,3.000000,POINT (3.000000 36.583333),182527,Algeria,615,Africa,2,2,02/24/1994 00:00:00,02/26/1994 00:00:00,0,5,0,0,5,5,5,
1498,ALG-1999-1-3-88,1999,True,Clear,1,386,386,Algeria: Government,829,829,Government of Algeria - GIA,109,109,Government of Algeria,538,538,GIA,-1,"Reuters, 6/10/1999 Algerian troops kill 16 Moslem rebels",,,,,4,Djelfa province,Djelfa province,Djelfa province,,34.333333,3.666667,POINT (3.666667 34.333333),178928,Algeria,615,Africa,1,1,06/09/1999 00:00:00,06/09/1999 00:00:00,0,5,0,0,5,5,5,
1499,ALG-2000-1-4-84,2000,True,Clear,1,386,386,Algeria: Government,830,830,Government of Algeria - AQIM,109,109,Government of Algeria,539,539,AQIM,-1,"AFP 5/10/2000 Eight dead, seven injured in Algeria attacks",,,,,4,Mascara province,Mascara province (near Djebailia in),Mascara province,,35.416667,0.166667,POINT (0.166667 35.416667),180361,Algeria,615,Africa,1,1,05/08/2000 00:00:00,05/08/2000 00:00:00,1,0,0,0,1,1,1,
1501,ALG-1996-3-1390-1,1996,False,Clear,3,538,572,GIA - Civilians,538,1039,GIA - Civilians,538,538,GIA,9999,1,Civilians,1,"""Agence France Presse,2015-07-02,Enquiry sheds new light on killings of French monks in Algeria""",Agence France Presse,2015-07-02,Enquiry sheds new light on killings of French monks in Algeria,GIA statement,2,Medea town,"Medea town (abducted from their monastery near), Medea district, Medea province",Medea province,Medea commune,36.264169,2.753926,POINT (2.753926 36.264169),181806,Algeria,615,Africa,1,1,05/21/1996 00:00:00,05/21/1996 00:00:00,0,0,7,0,7,7,7,
