id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
48612,MYA-1994-3-775-1,1994,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,"PTI news agency/BBC, 1994-03-03",,,,"commanding officer of the Bangladesh Rifles, as reported by the Bengali newspaper ""Ittefaq""",3,Bandarban District,Bandarban District (in Chittagong Hill Tracts),Chittagong Division,Bandarban District,21.813180,92.368070,POINT (92.368070 21.813180),161105,Bangladesh,771,Asia,2,4,01/01/1994 00:00:00,01/31/1994 00:00:00,0,0,23,0,23,23,23,
50084,MYA-1996-3-775-9,1996,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,Reuters 29/8,,,,Bangladeshi police,1,Naikhongchari town,Naikhongchari town,Chittagong Division,Bandarban District,21.416667,92.183333,POINT (92.183333 21.416667),160385,Bangladesh,771,Asia,1,1,08/28/1996 00:00:00,08/28/1996 00:00:00,0,0,3,0,3,3,3,
50928,MYA-1992-3-775-8,1992,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,R 15/3 1992,,,,refugees,5,Bangladesh border Bangladesh,Bangladesh border Bangladesh,,,21.267122,92.215000,POINT (92.215000 21.267122),160385,Bangladesh,771,Asia,2,3,03/07/1992 00:00:00,03/13/1992 00:00:00,0,0,10,0,10,10,10,
51081,MYA-1999-3-775-8,1999,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,Reuters 8/9,,,,Bangladeshi security force official,7,Bay of Bengal,Bay of Bengal (near Saint Martin Island),,,20.630564,92.367972,POINT (92.367972 20.630564),159665,Bangladesh,771,Asia,1,1,09/08/1999 00:00:00,09/08/1999 00:00:00,0,0,1,0,1,1,1,
51082,MYA-2000-3-775-13,2000,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,Reuters 20/8,,,,Bangladeshi police,7,Bay of Bengal,Bay of Bengal (near Saint Martin Island),,,20.630564,92.367972,POINT (92.367972 20.630564),159665,Bangladesh,771,Asia,1,1,08/20/2000 00:00:00,08/20/2000 00:00:00,0,0,4,0,4,4,4,
51122,MYA-1998-3-775-7,1998,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,Reuters 8/10,,,,Bangladeshi police,7,Bay of Bengal,Bay of Bengal (near Saint Martin Island),,,20.630564,92.367972,POINT (92.367972 20.630564),159665,Bangladesh,771,Asia,1,1,10/07/1998 00:00:00,10/07/1998 00:00:00,0,0,5,0,5,5,3,
51144,MYA-2000-1-312-1,2000,False,Clear,1,223,223,Myanmar (Burma): Arakan,442,442,Government of Myanmar (Burma) - RSO,144,144,Government of Myanmar (Burma),187,187,RSO,-1,AFP 13/11,,,,,5,Bangladesh border Bangladesh,Bangladesh border Bangladesh,,,21.267122,92.215000,POINT (92.215000 21.267122),160385,Bangladesh,771,Asia,1,1,11/10/2000 00:00:00,11/10/2000 00:00:00,11,0,0,0,11,11,11,
51419,MYA-1991-3-775-4,1991,True,Clear,3,144,488,Government of Myanmar (Burma) - Civilians,144,955,Government of Myanmar (Burma) - Civilians,144,144,Government of Myanmar (Burma),9999,1,Civilians,-1,"Reuters,1991-12-18",,,,security officials,3,Bandarban District,Naikhongchari Upazila (forest in),Chittagong Division,Bandarban District,21.813180,92.368070,POINT (92.368070 21.813180),161105,Bangladesh,771,Asia,1,1,12/16/1991 00:00:00,12/16/1991 00:00:00,0,0,2,0,2,2,2,
71006,BNG-2013-2-X3374-0,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Agence France Presse,2013-01-31,Deadly clashes erupt in Bangladesh general strike""",Agence France Presse,2013-01-31,Deadly clashes erupt in Bangladesh general strike,police,1,Bogra town,"Bogra town, north-west BNG.",Rajshahi Division,Bogra District,24.850000,89.366667,POINT (89.366667 24.850000),165419,Bangladesh,771,Asia,1,1,01/31/2013 00:00:00,01/31/2013 00:00:00,0,2,0,0,2,2,2,
71114,BNG-2013-2-X3374-1,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring South Asia,2013-02-25,Four killed, 50 injured in clashes between protestors, police in Bangladesh""",BBC Monitoring South Asia,2013-02-25,"Four killed, 50 injured in clashes between protestors, police in Bangladesh",victims,1,Tāngāil town,Tangail town,Dhaka Division,Tangail District,24.249839,89.916553,POINT (89.916553 24.249839),164700,Bangladesh,771,Asia,1,1,02/23/2013 00:00:00,02/23/2013 00:00:00,1,0,0,0,1,1,1,
