id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
6737,EGY-1994-1-241-18,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"C.I. April 1994, IHT, 1994-03-22, ""Clash raises 2-Day Egypt toll to 15",,,,police,1,Abu Tig town,Abu Tig town (village),Assiut governorate,,27.033333,31.316667,POINT (31.316667 27.033333),168903,Egypt,651,Middle East,1,1,03/20/1994 00:00:00,03/20/1994 00:00:00,1,2,0,0,3,3,3,
6738,EGY-1994-1-241-28,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,C.I. July/August 1994,,,,police,1,Monfalut town,"Monfalut town, Assiut  governorate",Assiut governorate,,27.311111,30.969444,POINT (30.969444 27.311111),168902,Egypt,651,Middle East,1,1,07/09/1994 00:00:00,07/09/1994 00:00:00,0,0,0,0,0,1,0,
6740,EGY-1995-1-241-10,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1995-01-28/29, ""Gunmen kill 6 policemen in Egypt",,,,security sources,4,Al Minya governorate,El Minya governorate,Al Minya governorate,,28.433333,30.700000,POINT (30.700000 28.433333),170342,Egypt,651,Middle East,1,1,01/27/1995 00:00:00,01/27/1995 00:00:00,6,0,0,0,6,6,6,
6742,EGY-1994-1-241-17,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"C.I. April 1994, IHT, 1994-03-22, ""Clash raises 2-Day Egypt toll to 15",,,,police,1,Sidfa town,Sidfa town,Assiut governorate,,26.965278,31.378333,POINT (31.378333 26.965278),168183,Egypt,651,Middle East,1,1,03/20/1994 00:00:00,03/20/1994 00:00:00,4,0,0,0,4,4,4,
6743,EGY-1995-3-1184-8,1995,True,Clear,3,341,526,al-Gama'a al-Islamiyya - Civilians,341,993,al-Gama'a al-Islamiyya - Civilians,341,341,al-Gama'a al-Islamiyya,9999,1,Civilians,-1,"Reuters, 1995-03-27",,,,police,1,Abu Qurqas town,Abu Qurqas town (village),Al Minya governorate,,27.930833,30.836389,POINT (30.836389 27.930833),169622,Egypt,651,Middle East,1,1,03/27/1995 00:00:00,03/27/1995 00:00:00,0,0,1,0,1,1,1,
6744,EGY-1993-1-241-2,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Svenska Dagbladet, 1993-02-18, ""Fanatiker beskt turistbussar",,,,police,1,Monfalut town,"Monfalut town, Assiut  governorate",Assiut governorate,,27.311111,30.969444,POINT (30.969444 27.311111),168902,Egypt,651,Middle East,1,1,02/16/1993 00:00:00,02/16/1993 00:00:00,0,1,0,0,1,1,1,
6745,EGY-1994-1-241-19,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"C.I. April 1994, IHT, 1994-03-22, ""Clash raises 2-Day Egypt toll to 15",,,,police,1,Assiut town,Assiut town,Assiut governorate,,27.180956,31.183683,POINT (31.183683 27.180956),168903,Egypt,651,Middle East,1,1,03/21/1994 00:00:00,03/21/1994 00:00:00,0,8,0,0,8,8,8,
6746,EGY-1995-1-241-21,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1995-05-05, ""Egyptian police kill 3 suspected extremists",,,,police,1,Cairo city,Cairo city,Cairo governorate,,30.050000,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,05/04/1995 00:00:00,05/04/1995 00:00:00,0,3,0,0,3,3,3,
6747,EGY-1994-1-241-51,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Times, 1994-12-06, ""Egypt killings",,,,police,1,Mallawi town,"Bani Shakir village (near Mallawi town, southern Egypt)",Assiut governorate,,27.731944,30.841111,POINT (30.841111 27.731944),169622,Egypt,651,Middle East,1,1,12/05/1994 00:00:00,12/05/1994 00:00:00,0,1,0,0,1,1,1,
6748,EGY-1994-1-241-42,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Svenska Dagbladet, 1993-09-19, ""Egyptisk grupp erknner mord",,,,police,1,Qeft town,Qeft town (village) (near Luxor town),Qena governorate,,26.000000,32.816667,POINT (32.816667 26.000000),167466,Egypt,651,Middle East,1,1,09/18/1994 00:00:00,09/18/1994 00:00:00,0,3,0,0,3,3,3,
