id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
62949,IRN-2013-1-459-0,2013,False,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,1,"""Agence France Presse,2013-08-26,Kurd rebels claim to kill seven Iranian soldiers""",Agence France Presse,2013-08-26,Kurd rebels claim to kill seven Iranian soldiers,PJAK,2,Sardasht town,Sardasht border area,West Azarbaijan province,Sardasht county,36.155278,45.478889,POINT (45.478889 36.155278),181891,Iran,630,Middle East,1,1,08/22/2013 00:00:00,08/22/2013 00:00:00,0,2,0,0,2,9,2,
62951,IRN-2013-1-459-1,2013,False,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,2,"""Associated Press Newswires,2013-10-10,Report: Rebels in Iran Kurdish area kill 5 Revolutionary Guard troops"";""BBC Monitoring Middle East,2013-10-18,Number of victims of clash in Iran's Kurdish city rises to six""",Associated Press Newswires;BBC Monitoring Middle East,2013-10-10;2013-10-18,Report: Rebels in Iran Kurdish area kill 5 Revolutionary Guard troops;Number of victims of clash in Iran's Kurdish city rises to six,An Iranian semi-official news agency,1,Baneh town,Baneh town,Kordestan province,Baneh county,35.997500,45.885278,POINT (45.885278 35.997500),181172,Iran,630,Middle East,1,1,10/10/2013 00:00:00,10/10/2013 00:00:00,5,0,0,0,5,6,5,
62954,IRN-2013-1-459-2,2013,False,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,1,"""Agence France Presse,2013-10-27,Iran Guards kill three rebels in Kurdish region""",Agence France Presse,2013-10-27,Iran Guards kill three rebels in Kurdish region,Brigadier General Mohammad Hassan Rajabi,3,Baneh county,Baneh region,Kordestan province,Baneh county,35.916667,45.833333,POINT (45.833333 35.916667),181172,Iran,630,Middle East,1,1,10/25/2013 00:00:00,10/25/2013 00:00:00,0,3,0,0,3,3,3,
62957,IRN-2013-1-459-3,2013,False,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,1,"""BBC Monitoring Middle East,2013-10-31,Iran border guard killed in northwestern Iran""",BBC Monitoring Middle East,2013-10-31,Iran border guard killed in northwestern Iran,Islamic Republic News Agency website,3,Maku county,Border area of Maku region in northwestern Iran,West Azarbaijan province,Maku county,39.295822,44.513234,POINT (44.513234 39.295822),186210,Iran,630,Middle East,1,1,10/30/2013 00:00:00,10/30/2013 00:00:00,1,0,0,0,1,1,1,
115494,IRN-1990-1-260-6.1,1990,True,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,1,"""Reuters News,1990-06-20,IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.""",Reuters News,1990-06-20,"IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.",KDPI,2,Saqqez town,near the towns of Saqqez and Oshnoviyeh,Kordestan province,Saqqez county,36.246389,46.266389,POINT (46.266389 36.246389),181893,Iran,630,Middle East,2,2,06/16/1990 00:00:00,06/20/1990 00:00:00,0,1,0,0,1,1,1,
115501,IRN-1990-1-260-7,1990,True,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 29/6,,,,KDPI,2,Sardasht town,Niskawa near Sardasht,West Azarbaijan province,Sardasht county,36.155278,45.478889,POINT (45.478889 36.155278),181891,Iran,630,Middle East,1,1,06/26/1990 00:00:00,06/26/1990 00:00:00,0,0,0,0,0,1,0,
115502,IRN-1990-1-260-9,1990,True,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 21/7,,,,KDPI,5,northern Iran,northern Iran,,,37.323220,48.041134,POINT (48.041134 37.323220),183337,Iran,630,Middle East,2,2,07/16/1990 00:00:00,07/21/1990 00:00:00,0,0,0,0,0,20,0,
115539,IRN-1997-1-246-15,1997,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,r 3/11,,,,,5,Iran/Iraq border,on the Iran-Iraq border,,,34.102554,45.508912,POINT (45.508912 34.102554),179012,Iran,630,Middle East,1,1,11/02/1997 00:00:00,11/02/1997 00:00:00,0,8,0,0,8,8,8,
115540,IRN-1999-1-246-5,1999,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,r 21/6,,,,Iran government,5,Southern Iran,southern Iran,,,29.961303,57.752987,POINT (57.752987 29.961303),172556,Iran,630,Middle East,1,1,06/21/1999 00:00:00,06/21/1999 00:00:00,0,1,0,0,1,1,1,
115542,IRN-2000-1-246-8,2000,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,r 29/4,,,,Iran government,4,Ilam province,"Ilam province, Iran",Ilam province,,33.638400,46.422600,POINT (46.422600 33.638400),178293,Iran,630,Middle East,1,1,04/29/2000 00:00:00,04/29/2000 00:00:00,1,2,0,0,3,3,3,
