id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
32485,LIB-2011-1-823-60,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Associated Press Newswires, 17 April 2011, ""Close-quarters combat and bombardments kill 17 in key rebel foothold in western Libya",,,,an NGO worker and an opposition activist said,1,Misrata town,"Misrata town, Misrata district",Misrata district,,32.375352,15.092543,POINT (15.092543 32.375352),176071,Libya,620,Africa,1,1,04/17/2011 00:00:00,04/17/2011 00:00:00,0,0,0,17,17,17,17,
32962,LIB-2011-1-823-105,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Reuters News, 5 June 2011, ""WRAPUP 2-Britain says rebels must plan for post-Gaddafi Libya",,,,"Youssef, a rebel spokesman,",1,Dafniya town,Dafniyah town,Misrata district,,32.406111,14.836944,POINT (14.836944 32.406111),176070,Libya,620,Africa,1,1,06/05/2011 00:00:00,06/05/2011 00:00:00,0,3,0,0,3,3,3,
32985,LIB-2011-1-823-107,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Associated Press Newswires, 6 June 2011, ""Human Rights Watch says Libyan rebels detaining civilians suspected of backing Gadhafi",,,,Jumaa Ibrahim of the region's rebel military council said via Skype.,1,Zintan town,"Zintan town, Yafran-Jadu district",Jabal al Gharbi district,,31.930556,12.248333,POINT (12.248333 31.930556),175345,Libya,620,Africa,1,1,06/06/2011 00:00:00,06/06/2011 00:00:00,0,0,2,0,2,2,2,
33630,LIB-2011-1-823-131,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Reuters News, 4 July 2011, ""WRAPUP 3-Gaddafi govt says in talks, rebels say he must go",,,,Doctors,1,Misrata town,"Misrata town, Misrata district",Misrata district,,32.375352,15.092543,POINT (15.092543 32.375352),176071,Libya,620,Africa,1,1,07/04/2011 00:00:00,07/04/2011 00:00:00,0,0,0,2,2,2,2,
33631,LIB-2011-3-620-5,2011,True,Clear,3,111,479,Government of Libya - Civilians,111,946,Government of Libya - Civilians,111,111,Government of Libya,9999,1,Civilians,-1,"Agence France Presse, 2 March 2011, ""First rebel to die in Libya's west now a hero",,,,victims father,4,Jabal al Gharbi district,"Roujdane town, unable to find town, reported as being close to Zintan, therefore assumed to be within Jabal al Gharbi district. ",Jabal al Gharbi district,,31.750000,12.500000,POINT (12.500000 31.750000),175346,Libya,620,Africa,1,1,02/16/2011 00:00:00,02/16/2011 00:00:00,0,0,1,0,1,1,1,
33669,LIB-2011-1-823-132,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Agence France Presse,  July 2011, ""Kadhafi shelling kills 11 in Misrata",,,,insurgents said.,1,Misrata town,"Misrata town (western entrance of), Misrata district",Misrata district,,32.375352,15.092543,POINT (15.092543 32.375352),176071,Libya,620,Africa,1,1,07/05/2011 00:00:00,07/05/2011 00:00:00,0,5,0,0,5,5,5,
33670,LIB-2011-1-823-136,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Associated Press Newswires, 6 July 2011, ""Libyan rebels seize 2 western mountain towns; regime threatens to prosecute rebel leaders",,,,"Dr. Ayman Abu Shahma, a physician in Misrata",1,Misrata town,"Misrata town, Misrata district",Misrata district,,32.375352,15.092543,POINT (15.092543 32.375352),176071,Libya,620,Africa,1,1,07/06/2011 00:00:00,07/06/2011 00:00:00,0,0,2,0,2,2,2,
34513,LIB-2011-1-823-141,2011,True,Clear,1,11346,11346,Libya: Government,11980,11980,Government of Libya - NTC,111,111,Government of Libya,1126,1126,NTC,-1,"Agence France Presse, 12 July 2011, ""Possible diplomatic opening in Libyan crisis",,,,A rebel statement,1,Misrata town,"on the western front, assumed to be in Misrata town, since the communique came from Misrata which was embattled at the time.  ",Misrata district,,32.375352,15.092543,POINT (15.092543 32.375352),176071,Libya,620,Africa,1,1,07/12/2011 00:00:00,07/12/2011 00:00:00,0,4,0,0,4,10,4,
40868,LIB-2012-1-15539-1,2012,False,Clear,1,11346,11346,Libya: Government,15539,15539,Government of Libya - ASL,111,111,Government of Libya,7046,7046,ASL,-1,"BBC Monitoring Middle East, 2012-09-19, Radical Islamist killed in raid on makeshift ""wine factory"" in Libya's Benghazi",,,,"A member of the group, Rajab al-Aquri",1,Benghazi town,Benghazi town,Benghazi district,,32.117664,20.129275,POINT (20.129275 32.117664),176081,Libya,620,Africa,1,1,09/19/2012 00:00:00,09/19/2012 00:00:00,0,1,0,0,1,1,1,
40888,LIB-2012-2-480-1,2012,True,Clear,2,5606,4996,"Gontrar, Zintan - Mashashia",5606,5606,"Gontrar, Zintan - Mashashia",3876,3876,"Gontrar, Zintan",1188,1188,Mashashia,-1,"Agence France Presse, 2012-06-12, Clashes in west Libya kill at least 3: state media",,,,The official LANA news agency,1,Mizdah town,Mizdah town,Jabal al Gharbi district,,31.445000,12.983056,POINT (12.983056 31.445000),174626,Libya,620,Africa,2,2,06/11/2012 00:00:00,06/12/2012 00:00:00,0,0,0,3,3,3,3,
