id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
2719,MLI-2009-1-12575-1,2009,True,Clear,1,11347,11347,Mali: Government,12575,12575,Government of Mali - AQIM,72,72,Government of Mali,539,539,AQIM,-1,"Agence France Presse, 16 June 2009, Mali army attacks Al-Qaeda base: security sources          BBC Monitoring Newsfile, 18 June 2009, Mali asks for Algiers' help following attempt to free Swiss hostage            BBC Monitoring Middle East, 18 June 2009Algerian source on disagreement with US, France over military presence in Sahara              Agence France Presse, 18 June 2009, 18 police killed in Algeria ambush: sources            BBC Monitoring Newsfile, 23 June 2009, Abductor of Swiss hostage injured in Mali raid - paper",,,,"security sources , observers                         El-Khabar newspaper quoted on 18 June a ""senior source                      [3rd source] The Malian Army                                Malian security forces                An informed source , The available information indicated",4,Timetrine region,Timetrine region,Timetrine region,,19.450000,0.366667,POINT (0.366667 19.450000),157321,Mali,432,Africa,1,1,06/16/2009 00:00:00,06/16/2009 00:00:00,10,20,0,0,30,36,22,
3651,ALG-2005-1-4-32,2005,True,Clear,1,386,386,Algeria: Government,830,830,Government of Algeria - AQIM,109,109,Government of Algeria,539,539,AQIM,-1,"Reuters News Algerian army clashed with rebels, 12 dead 5/7",,,,El Watan,1,Tessalit town,"Tessalit town, Tessalit cercle, Kidal region",Kidal region,Tessalit cercle,20.198611,1.011389,POINT (1.011389 20.198611),158763,Mali,432,Africa,1,1,06/29/2005 00:00:00,06/29/2005 00:00:00,0,0,0,12,12,14,12,
4219,MLI-2009-1-12575-3,2009,True,Clear,1,11347,11347,Mali: Government,12575,12575,Government of Mali - AQIM,72,72,Government of Mali,539,539,AQIM,-1,"BBC Monitoring Middle East, 14 July 2009, Algerian paper: Security developments in Mali, 'Afghanistan of the Sahel",,,,,1,Tombouctou town,Timbuktu town,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,4,07/05/2009 00:00:00,07/13/2009 00:00:00,1,0,0,0,1,1,1,
4975,MLI-2009-1-12575-2,2009,True,Clear,1,11347,11347,Mali: Government,12575,12575,Government of Mali - AQIM,72,72,Government of Mali,539,539,AQIM,-1,"BBC Monitoring Middle East, 14 July 2009, Algerian paper: Security developments in Mali, 'Afghanistan of the Sahel'                   BBC Monitoring Middle East, 24 July 2009, Spain to dispatch anti-terror experts to Mali",,,,"GSPC; the group now known as Al-Qa'idah in the Land of Islamic Maghreb, AQLIM , Malian press , Malian authorities , On the Algerian side, security sources                                            El-Khabar",2,Tombouctou town,"Timbuktu town (near; Arouane area, not far from Timbuktu)",Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,07/04/2009 00:00:00,07/04/2009 00:00:00,28,1,0,0,29,29,4,
5087,ALG-2009-3-1391-16,2009,True,Clear,3,539,573,AQIM - Civilians,539,1040,AQIM - Civilians,539,539,AQIM,9999,1,Civilians,-1,"Agence France Presse, 3 June 2009, Algeria praises British resolve over slain hostage     Agence France Presse, 3 June 2009, Al-Qaeda in the Islamic Maghreb: growing threat to West      guardian.co.uk, 3 June 2009  British hostage Edwin Dyer 'killed by al-Qaida' Gordon Brown condemns 'barbaric' killing of Briton, who was reportedly beheaded in north Africa",,,,"SITE Intelligence, a US-based monitoring group,  [2nd source] Al-Qaeda in the Islamic Maghreb   [3rd source]Gordon Brown",6,Mali,Mali,,,17.000000,-4.000000,POINT (-4.000000 17.000000),154433,Mali,432,Africa,1,1,05/31/2009 00:00:00,05/31/2009 00:00:00,0,0,1,0,1,1,1,
5565,MLI-2009-1-12575-0,2009,True,Clear,1,11347,11347,Mali: Government,12575,12575,Government of Mali - AQIM,72,72,Government of Mali,539,539,AQIM,1,"""2009 Country Reports on Human Rights Practices - Mali,2010-03-11,g. Use of Excessive Force and Other Abuses in Internal Conflicts""",2009 Country Reports on Human Rights Practices - Mali,2010-03-11,g. Use of Excessive Force and Other Abuses in Internal Conflicts,"Reliable sources ,                           security officials and family members",1,Tombouctou town,"Timbuktu town (near, Kimnou, near the road linking Timbuktu to Koundame //at his home in Timbuktu)",Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,06/10/2009 00:00:00,06/10/2009 00:00:00,1,0,0,0,1,1,1,
6035,MLI-2009-1-12575-4,2009,True,Clear,1,11347,11347,Mali: Government,12575,12575,Government of Mali - AQIM,72,72,Government of Mali,539,539,AQIM,-1,"BBC Monitoring Middle East, 14 July 2009, Algerian paper: Security developments in Mali, 'Afghanistan of the Sahel'              Agence France Presse, 20 July 2009, Mali's leader announces joint operations against Al-Qaeda",,,,Amadou Toure's regime                       the Malian army,5,Mali northern,Mali northern,,,20.000000,-3.000000,POINT (-3.000000 20.000000),158755,Mali,432,Africa,1,4,07/09/2009 00:00:00,07/16/2009 00:00:00,0,26,0,0,26,26,26,
11865,MLI-1990-3-432-9,1990,True,Clear,3,72,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecoq, ""Disputed Desert"", 306, referring to Le Monde and Klute",,,,,5,Northern Mali,Mali (north),,,20.000000,-3.000000,POINT (-3.000000 20.000000),158755,Mali,432,Africa,2,5,06/28/1990 00:00:00,08/28/1990 00:00:00,0,0,0,0,0,137,0,
11866,MLI-1994-3-432-8,1994,True,Clear,3,72,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Gossi town,Gossi town,Tombouctou region,Gourma-Rharous cercle,15.819607,-1.291135,POINT (-1.291135 15.819607),152278,Mali,432,Africa,1,1,07/03/1994 00:00:00,07/03/1994 00:00:00,0,0,3,0,3,3,3,
11867,MLI-1990-3-432-4,1990,True,Clear,3,72,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,1,Kidal town,Kidal town,Gao region,Kidal cercle,18.441111,1.407778,POINT (1.407778 18.441111),155883,Mali,432,Africa,1,1,08/06/1990 00:00:00,08/06/1990 00:00:00,0,0,4,0,4,4,4,
11869,MLI-1994-3-1374-9,1994,True,Clear,3,522,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,BBC Monitoring Africa 25/11-94,,,,armed forces staff,1,Lelehoy town,Lelehoy town,Gao region,Ansongo cercle,15.555700,0.494400,POINT (0.494400 15.555700),152281,Mali,432,Africa,1,1,11/20/1994 00:00:00,11/20/1994 00:00:00,0,0,1,0,1,1,1,
