id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
20254,SOM-1999-2-5429-0,1999,True,Clear,2,5429,4819,Abdalle-Aroneh subclan of Abgal clan (Hawiye) - Eli-Omar subclan of Abgal clan (Hawiye),5429,5429,Abdalle-Aroneh subclan of Abgal clan (Hawiye) - Eli-Omar subclan of Abgal clan (Hawiye),968,968,Abdalle-Aroneh subclan of Abgal clan (Hawiye),967,967,Eli-Omar subclan of Abgal clan (Hawiye),1,"""Xinhua News Agency,1999-01-28,Clan Fighting Claims 31 in Somalia.""",Xinhua News Agency,1999-01-28,Clan Fighting Claims 31 in Somalia.,sources from the area,6,Somalia,"Arro-Madowleh, around 110 km (70 miles) northeast of Mogadishu

Arro-Madowlth village",,,6.000000,48.000000,POINT (48.000000 6.000000),138697,Somalia,520,Africa,1,5,01/01/1999 00:00:00,12/31/1999 00:00:00,0,0,0,0,0,9,0,
20626,SOM-2010-1-770-165,2010,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Shabeelle Media Network website, Mogadishu, in Somali 6 Oct 10 (BBC Monitoring Africa 6 Oct 2010 ""Seven killed as government forces, Islamists battle in Somali capital",,,,,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,2,10/03/2010 00:00:00,10/06/2010 00:00:00,0,0,0,7,7,7,7,
20627,SOM-2010-1-770-69,2010,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Shabeelle Media Network website, Mogadishu, in Somali 27 Nov 10 (BBC Monitoring Africa 27 November 2010 ""One killed, seven wounded in Somali capital blast"")",,,,witness,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,11/26/2010 00:00:00,11/26/2010 00:00:00,0,0,0,1,1,1,1,
20628,SOM-2009-1-770-98,2009,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Garowe Online/All Africa Global Media via COMTEX, in All Africa 2009-08-06",,,,,1,Mogadishu city,Mogadishu city (Waberi district),Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,08/05/2009 00:00:00,08/05/2009 00:00:00,2,0,1,0,3,3,3,
20630,SOM-2008-1-770-64,2008,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,Shabeelle Media Network website 2008-01-16,,,,residents,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,01/15/2008 00:00:00,01/15/2008 00:00:00,0,0,1,0,1,1,1,
20633,SOM-2010-1-770-129,2010,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Radio HornAfrik, Mogadishu, in Somali 0500 gmt 19 Jul 10 (BBC Monitoring Africa 19 July 2010 ""Somalia's al-shabab claim victory in Mogadishu fighting",,,,,1,Mogadishu city,Mogadishu city (Bondhere),Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,07/18/2010 00:00:00,07/18/2010 00:00:00,0,0,6,0,6,6,6,
20637,SOM-2010-1-770-119,2010,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Somali Puntlandpost website in Somali 20 Jun 10 (BBC Monitoring Africa 21 June 2010 ""Somali Islamists attack AU troops' base in capital",,,,Eyewitness,1,Mogadishu city,Mogadishu city (Daniile & Hodan),Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,06/20/2010 00:00:00,06/20/2010 00:00:00,0,0,0,2,2,2,2,
20638,SOM-2002-2-9-9,2002,True,Clear,2,5182,4572,Agon-Yar subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),5182,5182,Agon-Yar subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),575,575,Agon-Yar subclan of Abgal clan (Hawiye),699,699,Warsangeli subclan of Abgal clan (Hawiye),-1,"AFP 29 Nov 2002 ""Six killed in fighting in Somalia's Middle Shabelle region",,,,,1,Adan Yabal town,Aadan Yabaal town,Middle Shabelle region,Adan Yabal district,3.778200,46.246300,POINT (46.246300 3.778200),135093,Somalia,520,Africa,1,1,11/20/2002 00:00:00,11/20/2002 00:00:00,0,0,0,6,6,6,6,
20639,SOM-2010-2-350-11,2010,True,Clear,2,5488,4878,Al-Shabaab - Hizbul Islam,5488,5488,Al-Shabaab - Hizbul Islam,717,717,Al-Shabaab,1004,1004,Hizbul Islam,-1,"Somali Puntlandpost website in Somali 22 Jun 10 (BBC Monitoring Africa 22 june 2010 ""Hardline Somali Islamists fight over control of police station in capital"" // AllAfrica 24 June 2010 ""Fresh Fighting Kills 8 in Mogadishu",,,,Eyewitness,1,Mogadishu city,Mogadishu city (Yaaqshid),Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,06/22/2010 00:00:00,06/22/2010 00:00:00,0,0,0,10,10,10,10,
20640,SOM-2006-1-632-34,2006,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,r 8/12,,,,witnesses,3,Baidoa district,Ramo Aday village,Bay region,Baidoa district,3.116667,43.650000,POINT (43.650000 3.116667),134368,Somalia,520,Africa,1,1,12/08/2006 00:00:00,12/08/2006 00:00:00,0,0,2,0,2,2,2,
