id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
205521,BNG-2015-3-1076-105,2015,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,10,"""Agence France Presse,2015-03-18,At least seven foreigners killed in attack on Tunis museum"";""Agence France Presse,2015-03-18,17 tourists killed as gunmen attack Tunisia museum"";""Agence France Presse,2015-03-18,20 tourists killed as gunmen attack Tunisia museum"";""Agence France Presse,2015-03-19,IS claims deadly attack on Tunis museum"";""Reuters News,2015-03-19,Tunisia says militants in museum attack trained in Libya"";""Associated Press Newswires,2015-03-20,Islamic State claims responsibility for Tunisia attack"";""Reuters News,2015-03-20,Third French national dies of wounds from Tunisia attack"";""BBC Monitoring Middle East,2015-03-28,Injured French tourist in Tunisian museum attack dies"";""Jane's Intelligence,2015-05-28,Islamic State approaches first anniversary"";""Jane's Intelligence,2015-07-29,Attacks in Tunisia expose security weaknesses""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Reuters News;Associated Press Newswires;Reuters News;BBC Monitoring Middle East;Jane's Intelligence;Jane's Intelligence,2015-03-18;2015-03-18;2015-03-18;2015-03-19;2015-03-19;2015-03-20;2015-03-20;2015-03-28;2015-05-28;2015-07-29,At least seven foreigners killed in attack on Tunis museum;17 tourists killed as gunmen attack Tunisia museum;20 tourists killed as gunmen attack Tunisia museum;IS claims deadly attack on Tunis museum;Tunisia says militants in museum attack trained in Libya;Islamic State claims responsibility for Tunisia attack;Third French national dies of wounds from Tunisia attack;Injured French tourist in Tunisian museum attack dies;Islamic State approaches first anniversary;Attacks in Tunisia expose security weaknesses,"ministry spokesman, IS,  secretary of state for security, Jane's Intelligence",1,Tunis city,"Bardo Museum, Tunis",Tunis governorate,La Médina delegation,36.806112,10.171078,POINT (10.171078 36.806112),182541,Tunisia,616,Africa,1,1,03/18/2015 00:00:00,03/18/2015 00:00:00,0,0,21,0,21,21,21,
205522,TUN-2015-1-14747-0,2015,False,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,5,"""Reuters News,2015-03-18,Two militants, one police killed during operation at Tunisian museum: official"";""Agence France Presse,2015-03-26,23 suspects arrested over Tunis museum attack: minister"";""Africa Research Bulletin,2015-03-31,Africa Research Bulletin: Political, Social and Cultural Series"";""Federation of American Scientists,2015-03-23,CRS Insights: Terrorist Attack in Tunis: Implications"";""Agence France Presse,2019-01-25,Tunis museum attack trial reopens with video feed to Paris

AU 	
Caroline Nelly""",Reuters News;Agence France Presse;Africa Research Bulletin;Federation of American Scientists;Agence France Presse,2015-03-18;2015-03-26;2015-03-31;2015-03-23;2019-01-25,"Two militants, one police killed during operation at Tunisian museum: official;23 suspects arrested over Tunis museum attack: minister;Africa Research Bulletin: Political, Social and Cultural Series;CRS Insights: Terrorist Attack in Tunis: Implications;Tunis museum attack trial reopens with video feed to Paris

AU 	
Caroline Nelly","interior ministry spokesman, IS",1,Tunis city,"Bardo museum, Tunis",Tunis governorate,La Médina delegation,36.806112,10.171078,POINT (10.171078 36.806112),182541,Tunisia,616,Africa,1,1,03/18/2015 00:00:00,03/18/2015 00:00:00,1,2,0,0,3,3,3,
205545,BNG-2015-3-1076-106,2015,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,5,"""Agence France Presse,2015-06-26,27 dead in Tunisia tourist resort attack"";""Agence France Presse,2015-06-26,Tunisia beach resort massacre kills 37"";""Reuters News,2015-06-27,Islamic state claims responsibility for Tunisia hotel attack: twitter account"";""Reuters News,2015-06-27,UPDATE 10-Gunman kills 39 at Tunisian beachside hotel, Islamic State claims attack"";""Reuters News,2015-06-30,Tunisia hotel attacker in contact with militants in Libya: source""",Agence France Presse;Agence France Presse;Reuters News;Reuters News;Reuters News,2015-06-26;2015-06-26;2015-06-27;2015-06-27;2015-06-30,"27 dead in Tunisia tourist resort attack;Tunisia beach resort massacre kills 37;Islamic state claims responsibility for Tunisia hotel attack: twitter account;UPDATE 10-Gunman kills 39 at Tunisian beachside hotel, Islamic State claims attack;Tunisia hotel attacker in contact with militants in Libya: source","health ministry, witnesses, IS twitter account",1,RIU Imperial Marhaba hotel,"Marhaba Hotel in the Port El Kantaoui district, Sousse",Sousse Governorate,Sousse Delegation,35.912491,10.580612,POINT (10.580612 35.912491),181102,Tunisia,616,Africa,1,1,06/26/2015 00:00:00,06/26/2015 00:00:00,0,0,38,0,38,38,38,
205546,TUN-2015-1-14747-1,2015,False,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,1,"""Reuters News,2015-06-27,UPDATE 10-Gunman kills 39 at Tunisian beachside hotel, Islamic State claims attack""",Reuters News,2015-06-27,"UPDATE 10-Gunman kills 39 at Tunisian beachside hotel, Islamic State claims attack",Witnesses and security officials ,1,RIU Imperial Marhaba hotel,Imperial Marhaba in Sousse,Sousse Governorate,Sousse Delegation,35.912491,10.580612,POINT (10.580612 35.912491),181102,Tunisia,616,Africa,1,1,06/26/2015 00:00:00,06/26/2015 00:00:00,0,1,0,0,1,1,1,
219499,TUN-2016-1-14747-1,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,5,"""Reuters News,2016-03-07,Tunisian army kills at least 10 militants during attack on border town: army spokesman"";""Reuters News,2016-03-07,Militants, Tunisian forces clash in border town, 19 killed"";""Agence France Presse,2016-03-07,28 jihadists killed in Tunisia fighting: new toll"";""Associated Press Newswires,2016-03-07,The Latest: Tunisia premier says IS responsible for attack"";""International Crisis Group,2017-07-24,How the Islamic State Rose, Fell and Could Rise Again in the Maghreb """,Reuters News;Reuters News;Agence France Presse;Associated Press Newswires;International Crisis Group,2016-03-07;2016-03-07;2016-03-07;2016-03-07;2017-07-24,"Tunisian army kills at least 10 militants during attack on border town: army spokesman;Militants, Tunisian forces clash in border town, 19 killed;28 jihadists killed in Tunisia fighting: new toll;The Latest: Tunisia premier says IS responsible for attack;How the Islamic State Rose, Fell and Could Rise Again in the Maghreb ","An army spokesman, Hospital sources, the government, witness",2,Ben Gardane town,in the Tunisian town of Ben Gardane near the Libyan border ,Medenine governorate,Ben Guerdane delegation,33.138889,11.216667,POINT (11.216667 33.138889),177503,Tunisia,616,Africa,1,1,03/07/2016 00:00:00,03/07/2016 00:00:00,12,38,7,0,57,57,57,
219503,TUN-2016-1-14747-0,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,3,"""Agence France Presse,2016-03-08,Five 'terrorists' killed in security operation near Tunisia-Libya border: ministry"";""Reuters News,2016-03-09,Tunisia forces kill six militants in border town raid - army"";""Agence France Presse,2016-03-10,Three jihadists killed near Tunisia's Ben Guerdane: ministry""",Agence France Presse;Reuters News;Agence France Presse,2016-03-08;2016-03-09;2016-03-10,Five 'terrorists' killed in security operation near Tunisia-Libya border: ministry;Tunisia forces kill six militants in border town raid - army;Three jihadists killed near Tunisia's Ben Guerdane: ministry,"The interior ministry, the army",2,Ben Gardane town,"In the Benniri sector"" near the Libyan frontier, a few kilometers south from Ben Guerdane",Medenine governorate,Ben Guerdane delegation,33.138889,11.216667,POINT (11.216667 33.138889),177503,Tunisia,616,Africa,1,1,03/08/2016 00:00:00,03/08/2016 00:00:00,0,6,0,0,6,6,6,
219505,TUN-2016-1-14747-2,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,1,"""Agence France Presse,2016-03-09,Two 'terrorists', Tunisian soldier killed near border: officials""",Agence France Presse,2016-03-09,"Two 'terrorists', Tunisian soldier killed near border: officials",Defence and interior ministries,1,Ben Gardane town,,Medenine governorate,Ben Guerdane delegation,33.138889,11.216667,POINT (11.216667 33.138889),177503,Tunisia,616,Africa,1,1,03/09/2016 00:00:00,03/09/2016 00:00:00,1,2,0,0,3,3,3,
219507,TUN-2016-1-14747-3,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,1,"""Agence France Presse,2016-03-10,Three jihadists killed near Tunisia's Ben Guerdane: ministry""",Agence France Presse,2016-03-10,Three jihadists killed near Tunisia's Ben Guerdane: ministry,the interior and defence ministries,2,Zokra village,"'Uqlat Zukrah - near Ben Gardane
Zokra district",Medenine governorate,Ben Guerdane delegation,33.149668,11.300038,POINT (11.300038 33.149668),177503,Tunisia,616,Africa,1,1,03/10/2016 00:00:00,03/10/2016 00:00:00,0,1,0,0,1,1,1,
219511,TUN-2016-1-14747-4,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,1,"""Agence France Presse,2016-03-10,Three jihadists killed near Tunisia's Ben Guerdane: ministry""",Agence France Presse,2016-03-10,Three jihadists killed near Tunisia's Ben Guerdane: ministry,the interior and defence ministries,6,Tunisia,Hassi al-Nour district,,,34.000000,9.000000,POINT (9.000000 34.000000),178939,Tunisia,616,Africa,1,1,03/10/2016 00:00:00,03/10/2016 00:00:00,0,2,0,0,2,2,2,
223498,TUN-2016-1-14747-5,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,3,"""Reuters News,2016-05-19,Tunisian forces say kill local Islamic State commander in clashes"";""Agence France Presse,2016-05-19,Tunisia says one of its 'most dangerous' jihadists killed"";""Al Huffington Post,2016-05-19,Un ""des plus dangereux chefs terroristes de Tunisie"" abattu au mont Mghila, selon le ministère de la Défense""",Reuters News;Agence France Presse;Al Huffington Post,2016-05-19;2016-05-19;2016-05-19,"Tunisian forces say kill local Islamic State commander in clashes;Tunisia says one of its 'most dangerous' jihadists killed;Un ""des plus dangereux chefs terroristes de Tunisie"" abattu au mont Mghila, selon le ministère de la Défense",The Tunisian Ministry of Defense,2,Mount Mghilla,Near the military zone of Aïn Ziana on Mount Mghilla,Sidi Bou Zid Governorate,Jelma delegation,35.416772,9.236909,POINT (9.236909 35.416772),180379,Tunisia,616,Africa,1,1,05/19/2016 00:00:00,05/19/2016 00:00:00,0,1,0,0,1,1,1,
234508,TUN-2016-1-14747-6,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,2,"""Agence France Presse,2016-11-05,Tunisian soldier killed in his home: report"";""Agence France Presse,2016-11-06,IS claims killing of Tunisian soldier""",Agence France Presse;Agence France Presse,2016-11-05;2016-11-06,Tunisian soldier killed in his home: report;IS claims killing of Tunisian soldier," IS-affiliated Amaq news agency
Defence ministry spokesman Belhassen Oueslati",2,Mount Mghilla,"near central Mount Mghilla,",Sidi Bou Zid Governorate,Jelma delegation,35.416772,9.236909,POINT (9.236909 35.416772),180379,Tunisia,616,Africa,1,1,11/06/2016 00:00:00,11/06/2016 00:00:00,1,0,0,0,1,1,1,
234511,TUN-2016-1-14747-7,2016,True,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,1,"""Agence France Presse,2016-11-09,Tunisia says jihadist group head killed""",Agence France Presse,2016-11-09,Tunisia says jihadist group head killed,defence ministry,1,Mount Mghilla,on Mount Mghilla,Sidi Bou Zid Governorate,Jelma delegation,35.416772,9.236909,POINT (9.236909 35.416772),180379,Tunisia,616,Africa,1,1,11/09/2016 00:00:00,11/09/2016 00:00:00,0,1,0,0,1,1,1,
237120,TUN-2017-1-14747-1,2017,False,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,4,"""Agence France Presse,2017-03-12,Policeman killed in south Tunisia ambush"";""Reuters News,2017-03-12,Policeman killed in checkpoint attack in southern Tunisia - officials"";""Reuters News,2017-03-12,Policeman killed in checkpoint attack in southern Tunisia - officials"";""Critical Threats,2017-12-15,AQIM and ISIS in Tunisia: Latent Threats""",Agence France Presse;Reuters News;Reuters News;Critical Threats,2017-03-12;2017-03-12;2017-03-12;2017-12-15,Policeman killed in south Tunisia ambush;Policeman killed in checkpoint attack in southern Tunisia - officials;Policeman killed in checkpoint attack in southern Tunisia - officials;AQIM and ISIS in Tunisia: Latent Threats,security officials,1,Kebili town,"Kebili, which lies on the edge of Tunisia's southern desert region",Kebili Governorate,Kebili Sud delegation,33.704387,8.969034,POINT (8.969034 33.704387),178218,Tunisia,616,Africa,1,1,03/12/2017 00:00:00,03/12/2017 00:00:00,1,2,0,0,3,3,3,
238822,AFG-2017-3-973-40,2017,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Agence France Presse,2017-06-03,Beheaded Tunisian shepherd's brother killed: reports"";""ICG,2017-06-30,Libya  JUNE 2017""",Agence France Presse;ICG,2017-06-03;2017-06-30,Beheaded Tunisian shepherd's brother killed: reports;Libya  JUNE 2017,media reports and the defence minister's spokesman said on Saturday,2,Mount Mghilla,Mount Mghilla area,Sidi Bou Zid Governorate,Jelma delegation,35.416772,9.236909,POINT (9.236909 35.416772),180379,Tunisia,616,Africa,1,1,06/02/2017 00:00:00,06/02/2017 00:00:00,0,0,1,0,1,1,1,
239425,TUN-2017-1-14747-0,2017,False,Clear,1,14333,14333,Tunisia: Islamic State,14747,14747,Government of Tunisia - IS,110,110,Government of Tunisia,234,234,IS,2,"""BBC Monitoring Middle East,2017-07-30,IS claims rare attack in Tunisia"";""Live map,2017-07-29,Tunisia: ISIS claims IED blast on a TAF armored vehicle at Jebel Mghila, ""killing and wounding 5"", (in fact no casualties were recorded)""",BBC Monitoring Middle East;Live map,2017-07-30;2017-07-29,"IS claims rare attack in Tunisia;Tunisia: ISIS claims IED blast on a TAF armored vehicle at Jebel Mghila, ""killing and wounding 5"", (in fact no casualties were recorded)",IS,2,Mount Maghila,"Maghila, Kasserine province

Jebel Mghila",Kassérine Governorate,,35.401296,9.206301,POINT (9.206301 35.401296),180379,Tunisia,616,Africa,1,1,07/30/2017 00:00:00,07/30/2017 00:00:00,0,0,0,0,0,5,0,
