"","Departures","Arrivals","Deaths"
"1",NA,2171,NA
"2",5515,5506,9
"3",3286,3285,1
"4",15724,15682,42
"5",14825,14599,226
"6",22946,22641,305
"7",24855,24031,824
"8",25485,24774,711
"9",26969,26107,862
"10",15433,15279,154
"11",9307,9293,14
"12",6827,6732,95
"13",2238,2171,67
"14",5838,5506,332
"15",3335,3285,50
"16",16922,15682,1240
"17",14690,14599,91
"18",22658,22641,17
"19",24237,24031,206
"20",25431,24774,657
"21",26183,26107,76
"22",15449,15279,170
"23",9297,9293,4
"24",6733,6732,1
"25",5360,5273,87
"26",3835,3828,7
"27",9913,9676,237
"28",9788,9149,639
"29",21052,19925,1127
"30",22411,22371,40
"31",23768,23552,216
"32",21336,21294,42
"33",17311,16975,336
"34",27821,27384,437
"35",14665,13962,703
"36",8410,8047,363
"37",4693,4468,225
"38",9188,8971,217
"39",11221,10853,368
"40",13211,12934,277
"41",23708,22993,715
"42",23938,23526,412
"43",11523,11461,62
"44",4058,3920,138
"45",6383,6282,101
"46",6137,5984,153
"47",5846,5641,205
"48",2269,2268,1
"49",4385,4182,203
"50",1186,1065,121
"51",1072,1049,23
"52",3191,3171,20
"53",3971,3963,8
"54",3711,3147,564
"55",2126,1969,157
"56",1551,1531,20
"57",1077,947,130
"58",1014,1007,7
"59",991,980,11
"60",374,359,15
"61",348,202,146
"62",65,60,5
"63",318,262,56
"64",306,255,51
"65",846,782,64
"66",1240,1218,22
"67",1330,1088,242
"68",1336,1268,68
"69",2515,2498,17
"70",2051,2017,34
"71",1281,1232,49
"72",NA,589,NA
"73",1348,1342,6
"74",1321,1211,110
"75",262,241,21
"76",684,671,13
"77",1665,1654,11
"78",1918,1831,87
"79",7122,7063,59
"80",5447,5327,120
"81",4465,4386,79
"82",3587,3477,110
"83",5499,5360,139
"84",1671,1591,80
